match_id,date,team,opponent,corners_for,corners_against,cards,fouls,shots,sot_for,sot_against,referee,is_home
1512768,2026-06-07 18:45:00,Slovenia,Croatia,4,8,0,11,13,4,6,"Bence Csonka, Hungary",0
1512757,2026-03-26 23:30:00,Colombia,Croatia,0,2,0,3,3,1,1,"Rubiel Vazquez, USA",1
1512757,2026-03-26 23:30:00,Croatia,Colombia,2,0,0,5,5,1,1,"Rubiel Vazquez, USA",0
1366324,2025-11-17 19:45:00,Montenegro,Croatia,5,3,3,17,13,5,7,H. U. Meler,1
1366324,2025-11-17 19:45:00,Croatia,Montenegro,3,5,1,16,17,7,5,H. U. Meler,0
1366316,2025-11-14 19:45:00,Croatia,Faroe Islands,11,2,0,9,20,4,4,A. Aghayev,1
1366316,2025-11-14 19:45:00,Faroe Islands,Croatia,2,11,2,11,4,4,4,A. Aghayev,0
1366305,2025-10-12 18:45:00,Croatia,Gibraltar,18,0,0,7,28,10,0,O. Derevinskyi,1
1366305,2025-10-12 18:45:00,Gibraltar,Croatia,0,18,0,7,1,0,10,O. Derevinskyi,0
1366297,2025-10-09 18:45:00,Czech Republic,Croatia,5,6,0,17,11,2,2,F. Letexier,1
1366297,2025-10-09 18:45:00,Croatia,Czech Republic,6,5,2,8,10,2,2,F. Letexier,0
1366292,2025-09-08 18:45:00,Croatia,Montenegro,7,3,1,10,32,13,1,F. Zwayer,1
1366292,2025-09-08 18:45:00,Montenegro,Croatia,3,7,4,6,3,1,13,F. Zwayer,0
1366285,2025-09-05 18:45:00,Faroe Islands,Croatia,3,17,2,12,6,3,8,K. Tohver,1
1366285,2025-09-05 18:45:00,Croatia,Faroe Islands,17,3,1,8,26,8,3,K. Tohver,0
1366277,2025-06-09 18:45:00,Croatia,Czech Republic,0,6,0,3,18,11,5,J. Manzano,1
1366277,2025-06-09 18:45:00,Czech Republic,Croatia,6,0,2,11,14,5,11,J. Manzano,0
1539007,2026-06-20 17:00:00,Netherlands,Sweden,2,5,0,9,10,7,8,"Michael Oliver, England",1
1539007,2026-06-20 17:00:00,Sweden,Netherlands,5,2,3,12,16,8,7,"Michael Oliver, England",0
1539002,2026-06-15 02:00:00,Sweden,Tunisia,4,2,0,10,13,7,2,"Yael Falcon Perez, Argentina",1
1539002,2026-06-15 02:00:00,Tunisia,Sweden,2,4,1,8,6,2,7,"Yael Falcon Perez, Argentina",0
1542552,2026-06-04 17:00:00,Sweden,Greece,1,4,0,6,13,5,4,"Aaron Wyn Jones, Wales",1
1542552,2026-06-04 17:00:00,Greece,Sweden,4,1,2,11,13,4,5,"Aaron Wyn Jones, Wales",0
