match_id,team,opponent,corners_for,corners_against,cards,fouls,referee
3920399,Mozambique,Cape Verde Islands,6,1,0,15,Samir Guezzaz
3920413,Gambia,Cameroon,7,5,4,15,Bamlak Tessema Weyesa
3920413,Cameroon,Gambia,5,7,0,9,Bamlak Tessema Weyesa
3920400,Senegal,Cameroon,8,9,1,14,Mahmood Ali Mahmood Ismail
3920400,Cameroon,Senegal,9,8,3,14,Mahmood Ali Mahmood Ismail
3920409,Guinea-Bissau,Nigeria,3,2,0,17,Bouchra Karboubi
3920409,Nigeria,Guinea-Bissau,2,3,3,20,Bouchra Karboubi
3920417,Namibia,Mali,9,3,1,14,Samuel Uwikunda
3920417,Mali,Namibia,3,9,0,15,Samuel Uwikunda
3920395,Congo DR,Zambia,7,0,1,11,Bamlak Tessema Weyesa
3920395,Zambia,Congo DR,0,7,1,13,Bamlak Tessema Weyesa
3920407,South Africa,Namibia,6,2,1,20,Youcef Gamouh
3920407,Namibia,South Africa,2,6,0,13,Youcef Gamouh
3920412,Guinea,Senegal,0,6,2,18,Pacifique Ndabihawenimana
3920412,Senegal,Guinea,6,0,2,14,Pacifique Ndabihawenimana
3920415,Mauritania,Algeria,5,6,3,20,Omar Abdulkadir Artan
3920415,Algeria,Mauritania,6,5,3,15,Omar Abdulkadir Artan
3920404,Tunisia,Mali,3,4,2,13,Daniel Nii Ayi Laryea
3920404,Mali,Tunisia,4,3,0,13,Daniel Nii Ayi Laryea
3920389,Cameroon,Guinea,5,0,2,14,Ibrahim Mutaz
3920389,Guinea,Cameroon,0,5,2,15,Ibrahim Mutaz
3920393,Tunisia,Namibia,8,7,0,11,Abdulkadir Artan
3920393,Namibia,Tunisia,7,8,0,13,Abdulkadir Artan
3920403,Mauritania,Angola,6,11,2,13,Mohamed Maarouf Eid Mansour
3920403,Angola,Mauritania,11,6,1,16,Mohamed Maarouf Eid Mansour
3920394,Morocco,Tanzania,5,2,2,14,Alhadi Allaou Mahamat
3920394,Tanzania,Morocco,2,5,5,16,Alhadi Allaou Mahamat
3920402,Algeria,Burkina Faso,4,1,2,13,Abongile Tom
3920402,Burkina Faso,Algeria,1,4,5,18,Abongile Tom
3920414,Angola,Burkina Faso,1,6,3,15,Jean Jacques Ndala Ngambo
3920414,Burkina Faso,Angola,6,1,1,10,Jean Jacques Ndala Ngambo
3920405,Morocco,Congo DR,3,5,3,17,Peter Waweru Kamaku
3920405,Congo DR,Morocco,5,3,1,17,Peter Waweru Kamaku
3920416,South Africa,Tunisia,5,6,0,14,Issa Sy
3920416,Tunisia,South Africa,6,5,0,12,Issa Sy
3922658,Cape Verde Islands,South Africa,10,4,1,19,Jean Jacques Ndala Ngambo
