match_id,team,opponent,corners_for,corners_against,cards,fouls,referee
7547,Australia,Denmark,5,3,0,6,Antonio Miguel Mateu Lahoz
7535,Costa Rica,Serbia,5,4,2,18,Malang Diedhiou
7535,Serbia,Costa Rica,4,5,2,13,Malang Diedhiou
8649,Uruguay,France,4,3,2,22,Néstor Fabián Pitana
8649,France,Uruguay,3,4,2,18,Néstor Fabián Pitana
8658,France,Croatia,2,6,1,14,Néstor Fabián Pitana
8658,Croatia,France,6,2,1,14,Néstor Fabián Pitana
7582,Spain,Russia,6,5,1,6,Björn Kuipers
7582,Russia,Spain,5,6,2,21,Björn Kuipers
7552,Belgium,Tunisia,3,2,0,13,Jair Marrufo
